ITTER107,Territorio,TIPO_DATO15,Tipo di indicatore demografico,SEXISTAT1,Sesso,ETA1,Età,STATCIV2,Stato civile,TIME,Seleziona periodo,Value
74016,San Pietro Vernotico,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,6974
71051,San Severo,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,25410
74017,San Vito dei Normanni,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,9520
75067,Sanarica,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,755
72040,Sannicandro di Bari,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,4729
75070,Sannicola,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,2978
75072,Santa Cesarea Terme,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,1542
73026,Sava,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,7999
75073,Scorrano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,3488
75074,Seclì,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,970
71053,Serracapriola,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,1953
75075,Sogliano Cavour,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,2014
75076,Soleto,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,2784
75081,Supersano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,2141
75082,Surano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,844
75083,Surbo,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,7487
75086,Tiggiano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,1403
71052,Sant'Agata di Puglia,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,957
72041,Santeramo in Colle,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,13108
75077,Specchia,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,2408
110008,Spinazzola,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,3227
75078,Spongano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,1860
75079,Squinzano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,7103
73029,Statte,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,6852
75080,Sternatia,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,1185
71054,Stornara,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,2815
75084,Taurisano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,5981
75085,Taviano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,6106
72043,Terlizzi,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,13196
74018,Torchiarolo,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,2682
72044,Toritto,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,4141
74019,Torre Santa Susanna,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,5278
71056,Torremaggiore,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,8483
73028,Torricella,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,2116
75087,Trepuzzi,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,7336
75088,Tricase,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,8898
72046,Triggiano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,13636
110010,Trinitapoli,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,7252
71058,Troia,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,3575
75089,Tuglie,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,2687
72047,Turi,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,6711
